                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0013,                 2.5491,                  1.537,                0.98954,                      1,                  0.995,                0.77656,                0.66954,                 8.9604,                 1.1736,                0.00012,                0.00012,                0.00012
                      2,                0.73635,                 1.3288,                 1.2851,                 0.7723,                      1,                  0.995,                0.85592,                0.48347,                 2.4973,                 1.0919,             0.00025743,             0.00025743,             0.00025743
                      3,                0.76209,                 1.1608,                 1.3382,                      1,                    0.6,                0.98591,                 0.8136,                0.63802,                 4.0638,                 1.1415,             0.00039208,             0.00039208,             0.00039208
                      4,                0.69052,                0.94369,                 1.2633,                0.81036,                    0.9,                 0.9038,                0.74814,                0.62719,                 1.7743,                 1.1036,             0.00052396,             0.00052396,             0.00052396
                      5,                0.72565,                0.77893,                 1.2767,                0.76241,                    0.7,                0.76724,                0.55937,                0.89578,                 2.0271,                 1.4643,             0.00065307,             0.00065307,             0.00065307
                      6,                0.78801,                0.82969,                 1.3365,                0.88129,                    0.9,                0.81844,                0.49045,                0.79899,                 2.6941,                 1.5754,             0.00077941,             0.00077941,             0.00077941
                      7,                0.72135,                0.76365,                 1.2578,                0.95066,                    0.4,                0.39761,                0.21224,                 1.6129,                 1.9865,                  2.246,             0.00090298,             0.00090298,             0.00090298
                      8,                 0.8155,                0.81989,                 1.3164,                0.65834,                    0.7,                0.63257,                0.18211,                 2.4252,                   3.29,                 2.9423,              0.0010238,              0.0010238,              0.0010238
                      9,                0.76717,                0.74676,                 1.2835,                0.03134,                    0.5,                0.05097,                0.01533,                 2.4822,                 35.127,                 2.8328,              0.0011418,              0.0011418,              0.0011418
                     10,                0.80298,                0.76147,                 1.3274,                0.59311,                      1,                0.85976,                0.55978,                 1.1497,                 4.9222,                 2.3536,               0.001257,               0.001257,               0.001257
                     11,                0.75711,                0.68293,                  1.288,                0.98476,                    0.3,                0.32378,                0.25022,                 1.3337,                 4.3292,                 3.6264,              0.0013695,              0.0013695,              0.0013695
                     12,                0.85101,                0.74232,                 1.3757,                0.13864,                    0.5,                0.11261,                0.05288,                 2.2548,                  8.953,                 4.2923,              0.0014792,              0.0014792,              0.0014792
                     13,                0.86307,                0.78292,                 1.3344,                0.01254,                    0.2,                0.00534,                0.00127,                 4.2182,                  80.19,                 9.7311,              0.0015862,              0.0015862,              0.0015862
                     14,                0.82307,                0.74549,                 1.3037,                0.25926,                    0.7,                0.41931,                0.18673,                 1.8271,                 19.762,                 3.5491,              0.0016903,              0.0016903,              0.0016903
                     15,                0.92311,                0.87113,                 1.3801,                0.77778,                    0.7,                0.69691,                0.45236,                  1.009,                 6.3849,                 2.0333,              0.0017228,              0.0017228,              0.0017228
                     16,                0.83654,                0.84954,                 1.3291,                0.37159,                    0.9,                0.69483,                0.27761,                  1.233,                 7.1499,                 2.0999,               0.001703,               0.001703,               0.001703
                     17,                0.86168,                0.74037,                 1.4026,                0.49968,                    0.9,                0.80377,                0.29271,                 2.0849,                 6.8653,                 3.4146,              0.0016832,              0.0016832,              0.0016832
                     18,                0.89709,                 0.6985,                 1.3547,                    0.4,                    0.4,                0.33612,                0.12115,                  2.392,                 18.169,                 4.1585,              0.0016634,              0.0016634,              0.0016634
                     19,                 0.8579,                0.72894,                 1.3693,                0.30028,                      1,                0.58266,                0.30377,                  1.396,                 8.8475,                 1.9043,              0.0016436,              0.0016436,              0.0016436
